Raw Symbols
Total Count  : 65687
Total Size   : 5941252
Unattributed : 1219166
--------------------------------------
Sorted by Size
        Size Section/Type  Name                                                                                                                      Source
       29959         code  void __cdecl onnxruntime::contrib::RegisterContribSchemas(void)                                                           c:\users\tiago\src\onnxruntime\onnxruntime\core\graph\contrib_ops\contrib_defs.cc
       21863         code  bool __cdecl onnx::BuildContextDependentFunctionBody(struct onnx::FunctionBodyBuildContext const &,class onnx::OpSchema const &,class onnx::FunctionProto &)  c:\users\tiago\src\onnxruntime\cmake\external\onnx\onnx\defs\math\defs.cc
       13127         code  private: static bool __cdecl onnxruntime::AttentionFusion::FuseSubGraph(class onnxruntime::Node &,class onnxruntime::Node const &,class onnxruntime::Graph &,__int64,class std::map<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class onnxruntime::NodeArg *,struct std::less<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class onnxruntime::NodeArg *> > > &,class onnxruntime::logging::Logger const &)  c:\users\tiago\src\onnxruntime\onnxruntime\core\optimizer\attention_fusion.cc
        9840        rdata  Dml::operatorRegistrationInformationTable                                                                                 c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\dml\dmlexecutionprovider\src\operators\operatorregistration.cpp
        9675         code  public: virtual class onnxruntime::common::Status __cdecl onnxruntime::EmbedLayerNormFusion::ApplyImpl(class onnxruntime::Graph &,bool &,int,class onnxruntime::logging::Logger const &)const   c:\users\tiago\src\onnxruntime\onnxruntime\core\optimizer\embed_layer_norm_fusion.cc
        9038         code  class onnx::OpSchema __cdecl onnx::GetOpSchema<class onnx::DynamicQuantizeLinear_Onnx_ver11>(void)                        c:\users\tiago\src\onnxruntime\cmake\external\onnx\onnx\defs\quantization\defs.cc
        8962         code  public: __cdecl onnxruntime::FunctionImpl::FunctionImpl(class onnxruntime::Graph const &,unsigned __int64 const &,class onnx::FunctionProto const &,class onnxruntime::logging::Logger const &)  c:\users\tiago\src\onnxruntime\onnxruntime\core\graph\function.cc
        8864         code  void __cdecl onnxruntime::dml::RegisterDmlSchemas(void)                                                                   c:\users\tiago\src\onnxruntime\onnxruntime\core\graph\dml_ops\dml_defs.cc
        8832        rdata  re2::unicode_groups                                                                                                       c:\users\tiago\src\onnxruntime\cmake\external\re2\re2\unicode_groups.cc
        8339         code  public: virtual class onnxruntime::common::Status __cdecl onnxruntime::SequentialExecutor::Execute(class onnxruntime::SessionState const &,class std::vector<int,class std::allocator<int> > const &,class std::vector<struct OrtValue,class std::allocator<struct OrtValue> > const &,class std::vector<int,class std::allocator<int> > const &,class std::vector<struct OrtValue,class std::allocator<struct OrtValue> > &,class std::unordered_map<unsigned __int64,class std::function<class onnxruntime::common::Status __cdecl(class onnxruntime::TensorShape const &,struct OrtMemoryInfo const &,struct OrtValue &,bool &)>,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64>,class std::allocator<struct std::pair<unsigned __int64 const ,class std::function<class onnxruntime::common::Status __cdecl(class onnxruntime::TensorShape const &,struct OrtMemoryInfo const &,struct OrtValue &,bool &)> > > > const &,class onnxruntime::logging::Logger const &)  c:\users\tiago\src\onnxruntime\onnxruntime\core\framework\sequential_executor.cc
        8304         code  public: class onnxruntime::common::Status __cdecl onnxruntime::MatMulComputeHelper::Compute(class onnxruntime::TensorShape const &,class onnxruntime::TensorShape const &,bool,bool)  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\math\matmul_helper.h
        8171         code  private: class onnxruntime::common::Status __cdecl onnxruntime::Graph::InferAndVerifyTypeMatch(class onnxruntime::Node &,class onnx::OpSchema const &,struct onnxruntime::Graph::ResolveOptions const &)  c:\users\tiago\src\onnxruntime\onnxruntime\core\graph\graph.cc
