Raw Symbols
Total Count  : 21842
Total Size   : 1073672
Unattributed : 175711
--------------------------------------
Sorted by Size
        Size Section/Type  Name                                                                                                                      Source
        5071         code  struct winrt::Microsoft::AI::MachineLearning::ILearningModelFeatureValue __cdecl _winml::CreateFeatureValueFromInspectable(enum _winml::BindingType,struct winrt::Windows::Foundation::IInspectable const &,struct winrt::Microsoft::AI::MachineLearning::ILearningModelFeatureDescriptor const &)  c:\users\tiago\src\onnxruntime\winml\lib\api\featurevalues.h
        4123         code  private: void __cdecl _winml::VideoFrameToTensorConverter::ConvertDX12TextureToGPUTensor(unsigned int,struct ID3D12Resource *,class _winml::D3DDeviceCache &,struct _winml::ImageTensorDescription const &,struct ID3D12Resource *)  c:\users\tiago\src\onnxruntime\winml\lib\api.image\videoframetotensorconverter.cpp
        4062         code  private: struct winrt::Microsoft::AI::MachineLearning::ILearningModelFeatureValue __cdecl winrt::Microsoft::AI::MachineLearning::implementation::LearningModelBinding::CreateUnboundOuputFeatureValue(struct winrt::com_ptr<struct _winml::IValue>,struct winrt::Microsoft::AI::MachineLearning::ILearningModelFeatureDescriptor &)  c:\users\tiago\src\onnxruntime\winml\lib\api\learningmodelbinding.cpp
        4061         code  private: void __cdecl _winml::TensorToVideoFrameConverter::ConvertGPUTensorToDX12Texture(unsigned int,struct ID3D12Resource *,class _winml::D3DDeviceCache &,struct _winml::ImageTensorDescription const &,struct ID3D12Resource *)  c:\users\tiago\src\onnxruntime\winml\lib\api.image\tensortovideoframeconverter.cpp
        3099         code  public: long __cdecl _winml::ModelInfo::RuntimeClassInitialize(class _winml::OnnxruntimeEngineFactory *,struct OrtModel *)  c:\users\tiago\src\onnxruntime\winml\lib\api.ort\onnxruntimemodel.cpp
        2909         code  public: virtual void __cdecl _winml::VideoFrameToTensorConverter::VideoFrameToDX12Tensor(unsigned int,struct winrt::Microsoft::AI::MachineLearning::LearningModelSession &,struct winrt::Windows::Media::IVideoFrame const &,struct winrt::Windows::Graphics::Imaging::BitmapBounds const &,struct _winml::ImageTensorDescription const &,struct ID3D12Resource *)  c:\users\tiago\src\onnxruntime\winml\lib\api.image\videoframetotensorconverter.cpp
        2539         code  WINRT_GetActivationFactory                                                                                                c:\users\tiago\src\onnxruntime\build\relwithdebinfo\winml_api\comp_generated\module.g.excl.cpp
        2530         code  public: class std::tuple<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct winrt::com_ptr<struct _winml::IValue>,enum _winml::BindingType> __cdecl winrt::Microsoft::AI::MachineLearning::implementation::LearningModelBinding::CreateBinding(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &,struct winrt::Windows::Foundation::IInspectable const &,struct winrt::Windows::Foundation::Collections::IPropertySet const &)  c:\users\tiago\src\onnxruntime\winml\lib\api\learningmodelbinding.cpp
        2521         code  public: virtual long __cdecl winrt::Microsoft::AI::MachineLearning::implementation::ImageFeatureValue::UpdateSourceResourceData(struct _winml::BindingContext &,struct _winml::IValue *)  c:\users\tiago\src\onnxruntime\winml\lib\api\imagefeaturevalue.cpp
        2454         code  public: class std::optional<struct winrt::Microsoft::AI::MachineLearning::implementation::ImageFeatureValue::ImageResourceMetadata> __cdecl winrt::Microsoft::AI::MachineLearning::implementation::ImageFeatureValue::GetInputMetadata(struct _winml::BindingContext const &)  c:\users\tiago\src\onnxruntime\winml\lib\api\imagefeaturevalue.cpp
